id_sesion,fecha,hora_inicio,hora_fin,modalidad,participantes,ruta_artefacto,decisiones_tomadas,commits_producidos,num_commits
SES-001,2026-07-28,21:29,21:29,Remota asíncrona (UTC-5 Ecuador),Edhu Xavier Gamarra Araujo (@EdhuXav),README.md,Creación inicial del repositorio con el README base del proyecto CarniCore,dcf22cd,1
SES-002,2026-07-31,23:26,23:49,Remota asíncrona (UTC-5 Ecuador),Edhu Xavier Gamarra Araujo (@EdhuXav),01_ERS/; 02_Evidencias/; 03_Modelado/; 04_Trazabilidad/; 05_MVP/; 06_Experimento/; 07_Publicacion/; 08_Etica/,"Crear carpeta 01_ERS para almacenar la especificación de requisitos; Crear carpeta 02_Evidencias para documentos y consentimientos; Crear carpeta 03_Modelado para diagramas UML; Crear carpeta 04_Trazabilidad para matrices de trazabilidad; Crear carpeta 05_MVP para el producto mínimo viable; Crear carpeta 06_Experimento para scripts, prompts y resultados; Crear carpeta 07_Publicacion para manuscrito y figuras; Crear carpeta 08_Etica para documentación ética; Crear subcarpetas internas de 02_Evidencias (Consentimientos, Entrevistas, Fotos_Entorno, Transcripciones, Cuestionario); Crear subcarpetas internas de 03_Modelado (Diagramas_UML/Actividad, Secuencia, Componentes, Despliegue, Clases, Contexto); Crear subcarpetas internas de 06_Experimento (instrumentos, prompts_llm, resultados, scripts); Crear subcarpeta dataset_zenodo en 07_Publicacion para depósito FAIR; Establecer la estructura base del repositorio para la entrega 2B","fc2ab5a, c9bcccd, 7d07cf4, 09c7df3, eb92796, 549b2b0, 960186f, 552f1d8, 4c9cf2f, f6bf2cf, 4580323, 175bfa8",12
SES-003,2026-08-01,12:24,23:37,Remota asíncrona (UTC-5 Ecuador),Edhu Xavier Gamarra Araujo (@EdhuXav); Carlos Andrés Pérez Ruiz (@cperezr3); Kleber Obed Crespo Espinoza (@kcrespoe); Ariel Omar Castro Bajaña (@arielca868); Erick Jahir Quintero Gende (@equinteroj),01_ERS/main.tex; 01_ERS/referencias.bib; 01_ERS/figura/istar_SD.svg; 03_Modelado/Diagramas_UML/Diagramas_Actividad/01-12_Activity_Diagram_CU-XX.png; 03_Modelado/Diagramas_UML/Diagramas_Secuencia/01-12_Sequence_Diagram.png; 03_Modelado/Diagramas_UML/Diagramas_Despliegue/Deployment_Diagram.png; 08_Etica/Adenda_Segunda_Ronda.pdf,"Creación de los archivos fuente .drawio/.xml para los 12 diagramas de actividad (CU-01 a CU-12); Aprobación y publicación de los diagramas de actividad CU-01, CU-02 y CU-03; Aprobación y publicación de los diagramas de actividad CU-04, CU-05 y CU-06; Aprobación y publicación de los diagramas de secuencia CU-11 y CU-12; Aprobación y publicación del diagrama de despliegue del sistema; Inicio de la redacción del documento ERS/SRS (main.tex, referencias.bib); Inclusión del modelo estratégico i* (istar_SD.svg) en 01_ERS; Aprobación de la Adenda de Segunda Ronda del protocolo ético; Establecimiento de la línea base de modelado UML del proyecto","24b2784, efc32da, 57aea0a, f539340, 219566a, d772f1c, ff3f983, c531acc, a40ee07, 703ac78, 2f3768e, a2f2ee2, 0f556fc, 5f2b422, f461106, d3d8f06, 5e2e342, 67795d9, bbaa9c0, fca896f, dc81b5a, f6e6d58, 5c0648c, 6d8a920, 3364481, cdeb39a, 136252f, 52f178e, 50b22a7, a420702, 741544d, 30bbd56, f9da3e8, e96c9bd, 284c3eb, 2c4ca3f, 0b4b392",37
SES-004,2026-08-02,00:04,23:59,Remota asíncrona (UTC-5 Ecuador),Edhu Xavier Gamarra Araujo (@EdhuXav); Carlos Andrés Pérez Ruiz (@cperezr3); Kleber Obed Crespo Espinoza (@kcrespoe); Ariel Omar Castro Bajaña (@arielca868); Erick Jahir Quintero Gende (@equinteroj),02_Evidencias/Fotos_Entorno/*.png; 02_Evidencias/Transcripciones/*.txt; 02_Evidencias/Cuestionario/Respuestas/*.csv; 02_Evidencias/Consentimientos/ENTR-0X/*.pdf; 02_Evidencias/Documentos_Organizacion/*.pdf; 02_Evidencias/00_Restringido/05-evidencias_restringidas.7z; 03_Modelado/Diagramas_UML/Component_Diagram.png; 03_Modelado/Diagramas_UML/Class-Diagram.png; 04_Trazabilidad/Matriz_Trazabilidad.csv; 04_Trazabilidad/priorizacion_moscow_kano.csv; 06_Experimento/prompts_llm/prompt_01_revision_preguntas_entrevista.md; 06_Experimento/prompts_llm/prompt_02_correccion_transcripciones.md; 06_Experimento/scripts/detector_ambiguedad.py; 06_Experimento/scripts/run_all.py; 01_ERS/ERS_SRS_2A_v1.0.pdf; LICENSE; checksums.sha256,"Aprobación y publicación del diagrama de componentes del sistema; Aprobación y publicación del diagrama de clases del sistema; Carga del certificado zoosanitario de producción y movilidad; Mejora del consentimiento informado base del estudio; Incorporación del guion de entrevista y rúbrica de evaluación experta; Publicación del protocolo experimental y preregistro en OSF; Incorporación de la matriz de trazabilidad y priorización MoSCoW/Kano; Incorporar prompt LLM para revisión de calidad de requisitos funcionales; Incorporar prompt LLM para corrección de transcripciones de entrevistas; Carga del archivo ejecutable del MVP y su README de instrucciones; Publicación de las actas y transcripciones anonimizadas de las entrevistas ENTR-01 a ENTR-05; Aprobación de las fotos del entorno cárnico (descarga, almacenamiento, cortes, cámara frigorífica); Adición de LICENSE y checksums.sha256 para la gobernanza FAIR del repositorio; Adopción del estándar .gitignore y .gitkeep para la estructura del repo; Generación de los resultados iniciales del detector de ambigüedad; Avance en la redacción del documento ERS/SRS versión 2A v1.0; Cierre del MVP con la versión ejecutable y dockerización","2f20417, 010bd31, 41a14dd, 1d15b01, 465a2d4, 9a82840, 85cd692, 242df18, 209999e, 9452223, 14f9c56, 5062348, 7799ebc, a143a6b, f6b2383, 9273088, 26f1915, 7b06392, fcae067, dc9de84, 91be44b, 6a453c4, 6e45d4f, 536e95e, 732f711, e074007, 7328d75, 658389f, 39a3524, 164f8a4, f1c3519, 0ac55b7, b98aa25, a239a1b, 17e1634, 85788c5, 2f3c155, 87c3d3d, dfffb43, d03b5b3, 777ae95, e451487, d924bec, bd2ce26, f5f68c5, 0d1ca6a, ee7c8dd, d25d46e, 29c7ab8, f0e02f1, 05c5c98, 3ac3777, 1eb5fcd, cca9a6f, e2244e4, d880bdf, b713c0a, f40e0ff, e11d0af, 72b003d, 0d3cb3d, b3a103a, f06608c, edd4489, 8342e3b, 8d23632, 6fb1793, d765e19, 01ceeb3, 23850bd, dc5ba0c, c6f2a03, ee59f8e, 9ea4b44, d4fddfc, 3f258ee, bfce6fd, 27043dd, 00125a9, 6af837e, 06f9db2, 315f617, 5ad3cb5, 9f7cf98, 58597e8, 83a9a8e",86
SES-005,2026-08-28,21:59,21:59,Remota asíncrona (UTC-5 Ecuador),Edhu Xavier Gamarra Araujo (@EdhuXav),09_Defensa/.gitkeep,Crear la carpeta 09_Defensa para almacenar el material de la defensa final del proyecto,09ea693,1
SES-006,2026-08-31,22:31,22:57,Remota asíncrona (UTC-5 Ecuador),Kleber Obed Crespo Espinoza (@kcrespoe); Erick Jahir Quintero Gende (@equinteroj),02_Evidencias/Transcripciones/2026-08-29_Chofer_ENTR-06_Transcripcion.txt; 02_Evidencias/Transcripciones/2026-08-31_Chofer_ENTR-06_Transcripcion.txt; 02_Evidencias/Transcripciones/2026-08-30_Recepcion_Bodega_ENTR-07_Transcripcion.txt; 07_Publicacion/dataset_zenodo/ANONYMIZATION.md; 07_Publicacion/dataset_zenodo/ETHICS.md,Publicación de la transcripción anonimizada de la entrevista al chofer (ENTR-06); Actualización y renombrado del archivo de transcripción ENTR-06; Publicación de la transcripción anonimizada de la entrevista al operario de recepción/bodega (ENTR-07); Adición del documento ANONYMIZATION.md para la documentación de procedimientos de anonimización en Zenodo; Adición del documento ETHICS.md con los principios éticos del estudio de campo,"5b854a8, 1cfb7b3, 9d54a0b, 906ffc8, f66c647",5
SES-007,2026-09-01,00:03,17:59,Remota asíncrona (UTC-5 Ecuador),Edhu Xavier Gamarra Araujo (@EdhuXav); Carlos Andrés Pérez Ruiz (@cperezr3); Kleber Obed Crespo Espinoza (@kcrespoe); Ariel Omar Castro Bajaña (@arielca868); Erick Jahir Quintero Gende (@equinteroj),01_ERS/ERS_SRS_2A_v1.0.pdf; 01_ERS/main_completado.pdf; 01_ERS/ERS_SRS_2B_v2.0.tex; 01_ERS/main.tex; 01_ERS/referencias.bib; 02_Evidencias/Consentimientos/ENTR-0X/*.pdf; 02_Evidencias/Transcripciones/ENTR-08-ENTR-13/*.txt; 02_Evidencias/Entrevistas/ENTR-XX/*.pdf; 02_Evidencias/Entrevistas/ENTR-XX/ACTA-XX.pdf; 02_Evidencias/00_Restringido/*.7z; 04_Trazabilidad/Matriz_Trazabilidad.csv; 04_Trazabilidad/priorizacion_moscow_kano.csv; 06_Experimento/scripts/detector_ambiguedad.py; 06_Experimento/scripts/run_all.py; 06_Experimento/resultados/*.csv; 06_Experimento/resultados/*.json; 06_Experimento/datos/crudos/*.csv; 07_Publicacion/manuscrito_borrador.tex; 07_Publicacion/manuscrito_borrador.pdf; 07_Publicacion/manuscrito/figuras/*.png; 07_Publicacion/manuscrito/tablas/*.tex; 08_Etica/README_Etica.md; 08_Etica/panel_expertos.md; 08_Etica/osf_registration.pdf; 08_Etica/etiquetas_expertos.csv; 09_Defensa/guion/guion_defensa.md; 09_Defensa/presentacion/*.pdf; 09_Defensa/fotos/*.png; CITATION.cff,"Publicación de las transcripciones anonimizadas de las entrevistas ENTR-08, ENTR-09 y ENTR-10 (operario pesaje, vendedor mostrador); Publicación de las transcripciones anonimizadas de las entrevistas ENTR-11, ENTR-12 y ENTR-13; Corrección de la fecha de transcripción en ENTR-11, ENTR-12 y ENTR-13; Incorporación de los consentimientos informados firmados de las entrevistas ENTR-06 a ENTR-16; Generación de carpetas restringidas para ENTR-15 y ENTR-16 con acceso controlado; Carga de archivos comprimidos (.7z) de las entrevistas en la carpeta restringida; Avance en la redacción del manuscrito final en LaTeX (figuras, tablas, referencias); Incorporación de figuras y tablas en el manuscrito (fig1_categories, fig2_fr_status, tabla_04, tabla_05); Adición de la presentación y guion de la defensa del proyecto; Adición de folleto de presentación y video walkthrough técnico 03; Ejecución y publicación de los resultados del detector de ambigüedad (clasificaciones, datos crudos y procesados); Limpieza de archivos obsoletos en 06_Experimento/resultados; Adición de la matriz de trazabilidad y priorización MoSCoW/Kano actualizadas; Adición del README de ética, panel de expertos y etiquetas de validación; Adición del archivo CITATION.cff para la citación del proyecto; Adición del archivo de osf_registration y osf_registration.pdf del protocolo; Fusión de ramas (merge a main) tras la aprobación de los revisores; Generación de los consentimientos y actas de entrevista enmascaradas para ENTR-01 a ENTR-16; Inclusión de las evidencias técnicas y de no-técnicos (técnicos 01, 02 y no técnico) en la carpeta 09_Defensa/fotos","129b07c, 81eab83, a152bba, 8d498a2, e994e65, 573ee2d, 25727f0, 992d954, 0ae5c97, f612b25, 57dcb79, 72969ef, 8217c00, 6a316e4, 2aa6ec9, e782eaa, c04e8b4, 2acf28a, dda0d0a, 6501816, 31305f5, ebf258e, 3e5ea50, 6d83282, 14fe3a0, 7e45533, a0dbaba, 0c622e2, 10b993a, 2ed351c, 2704d01, 406ff97, 53e306d, 1e0717c, 5a24261, ddf5316, 241109d, 962087f, a969af7, 0e24537, b06f89c, d144a5d, 643b39d, 9af7e59, 61b220c, 13a5141, 3dbae42, bfb6f2f, 3a6e26d, e5c279e, 887da58, a7e0543, 88bc221, 935fd42, 072939c, 8adb3b3, 2d9de3b, e91d595, 331e744, cb50333, fd00684, f2891ce, cc040a4, 2db1505, 46a1d07, 4c1a06e, 026006b, 384c3b6, b359162, fbd298e, 042f5b3, b4a86d3, 2c94a33, bfa8f22, 420e45b, 78e870e, fcd4e1d, b880b19, 3363fbe, 8d77da7, dae6e9f, b2560ca, 14c8569, 37fa129, c5f0e0a, 39c1656, 16baf20, 97f006e, 79321ab, 8624e27, a4e0a89, b867840, dcd5f0b, 68e039a, 1024d70, 2038eaa, 5ea5800, 863c8f9, ee250f5, e58c5ad, 25a030d, b4dc053, b0b9438, 238e1c4, c0c09dc, 7f4c9f4, e0cab70, e2be67b, 305cc5b, 0733d99, fd89936, de76f24, 73e5471, 4ec34ba, 9fec4fc, 5b38921, 7c3a6df, b35bf69, d474ce8, 035edc8, e8c5f27, cd72a81, 5ef4833",123
SES-008,2026-09-03,11:04,23:47,Remota asíncrona (UTC-5 Ecuador),Edhu Xavier Gamarra Araujo (@EdhuXav); Carlos Andrés Pérez Ruiz (@cperezr3); Kleber Obed Crespo Espinoza (@kcrespoe); Ariel Omar Castro Bajaña (@arielca868); Erick Jahir Quintero Gende (@equinteroj),01_ERS/ERS_SRS_2B_v2.0.tex; 01_ERS/main.tex; 01_ERS/referencias.bib; 01_ERS/ERS_SRS_2B_v2.0.pdf; 03_Modelado/Diagramas_UML/Diagramas_Secuencia/01-12_Sequence_Diagram.drawio; 03_Modelado/Diagramas_UML/Diagramas_Secuencia/01-12_Sequence_Diagram.png; 03_Modelado/Diagramas_UML/Diagramas_Actividad/01-12_Activity_Diagram_CU-XX.drawio; 03_Modelado/Diagramas_UML/Diagramas_Contexto/Context_Diagram.drawio; 03_Modelado/Diagramas_UML/Diagramas_Contexto/Context_Diagram.png; 03_Modelado/Diagramas_UML/Diagramas_Clases/Class-Diagram.drawio; 03_Modelado/Diagramas_UML/Diagramas_Clases/Class-Diagram.png; 06_Experimento/resultados/analisis_potencia.json; 06_Experimento/scripts/06_analisis_potencia.py; 06_Experimento/scripts/run_all.py; 06_Experimento/scripts/05_generar_figuras.py; 06_Experimento/scripts/07_diccionario_datos.py; 07_Publicacion/dataset_zenodo/README_dataset.md; 07_Publicacion/manuscrito/figuras/figura_01_*.png; 07_Publicacion/manuscrito/figuras/figura_02_*.png; 07_Publicacion/manuscrito/figuras/figura_03_*.png; 07_Publicacion/manuscrito/tablas/tabla_04_acuerdo_interevaluador.tex; 07_Publicacion/manuscrito/tablas/tabla_05_potencia.tex; 08_Etica/osf_deviations.pdf; 08_Etica/etiquetas_expertos.csv; 10_Autoria/fuentes_editables/Diagramas_Secuencia/*.drawio; 10_Autoria/fuentes_editables/Diagramas_Actividad/*.drawio; 10_Autoria/fuentes_editables/Diagramas_Contexto/*.drawio; 10_Autoria/fuentes_editables/Diagramas_Clases/*.drawio; 10_Autoria/aporte_individual.md; 10_Autoria/CHANGELOG.md,"Generación del archivo de análisis de potencia estadística (analisis_potencia.json); Adición del script 06_analisis_potencia.py para la ejecución del análisis de potencia; Adición del script 05_generar_figuras.py para la generación automatizada de figuras; Adición del diccionario de datos del experimento en 06_Experimento; Actualización del manuscrito final (manuscrito_final.pdf) y de las figuras 1, 2 y 3; Adición de las tablas 04 (acuerdo interevaluador) y 05 (potencia estadística); Inclusión del documento osf_deviations.pdf con las desviaciones del protocolo preregistrado; Adición de las fuentes editables (.drawio) y exports (.png) de los diagramas de secuencia 01 a 12; Adición de las fuentes editables (.drawio) y exports (.png) de los diagramas de actividad CU-01 a CU-12; Adición del diagrama de contexto y su fuente editable; Adición del diagrama de clases y su fuente editable; Actualización de las ACTAS-01, ACTA-02 y ACTA-03 enmascaradas; Generación del archivo fuente 10_Autoria/aporte_individual.md; Generación del CHANGELOG del proyecto (10_Autoria/CHANGELOG.md); Inclusión de fuentes editables en 10_Autoria/fuentes_editables para los diagramas UML","0518704, c4e7d63, aaca29c, e6e03bf, d5c55db, 9cf4223, fa050dc, c02d5dc, e1dcf51, 63ea949, 1d4fceb, 6bc840b, 93a150f, 09ab4c4, c529e1b, afd50b4, ebc730d, ae250c9, 35e055a, 1c28e20, baa9aba, 2add05a, 67d9c7d, e34fc1c, d273c80, e9cbf93, 021f5be, 1e463a0, 47ed06a, a18c9d6, c14381e, c3574de, 5721469, 990cdd0, 27bbebf, 5049d3e, 3f07c3e, fb92e95, f6e6122, 238475f, 5797622, 1231265, acacaac, 39f3afc, 354466c, bf4ae5a, 09a510a, 1041d15, 20d2490, d594d25, 51acdaa, c465fc1, 80ec37e, 72cda92, 096c267, 575610d, 45d2880, bff9809, c5963fe, 29547c5, 90aff37, 3fd2924, 072b87c, 1954c80, 375d44b, 19ed5c5, 2f7b699, 0a0db91, ca60e57, 2bd6f8d, b899a22, cb1c675, 6a8faf3, f42fd02, cd294bc, 9c0ba84, 551388f, b0b98ea, b858972, d816634, ec22e3c, 2fb97b8, 42752fd, 4cf998f, 9a817cf, ed50ec0, 5d7c0d3, 92253d5, 66229a7, 8200157, f04c0fe, 71a3953, bbe8c8e, 87ca4a1, b59d4ee, 2997551, bdef047, 7cfe99d, dbb852c, 15c7a68, 3bc10f8, 132791c, 69cbae6, 403341e, 50a9347, f39fedd, acf4bc1, 63b17bb, 9a1da92, 4858f40, a23a0aa, 933b9b1, adedd7d, 9e54f68, 376548d, 70a2de8, 280dd42, a9aa424, 62b3760, 7d2874e, 2b72a72, 3e4e435, 3b353de, 6349254, 505a7d5, fcb12d7, 455aafe, 3fc3db4, 4947151, 9462633, 89dc2be, 350f5be, fceace7, 72d8d37, e38903a, 6a02473, 079af04, ebe7741, 4bbd155, 7380d10, 0937bae, 933fd42, 4766921, 438379a, cdea3b9, fe2eacd, f3c0557, 01afcb9, 5345cd9, 586b08d, 64adf86, 42587a6, 85ef182, 431b086, ddfb756, 51fad40, 0e16070, 5c863b2, da437ac, f66febb, e438107, 66ddba8, ab1b739",163
SES-009,2026-09-04,00:10,20:01,Remota asíncrona (UTC-5 Ecuador),Edhu Xavier Gamarra Araujo (@EdhuXav); Carlos Andrés Pérez Ruiz (@cperezr3); Kleber Obed Crespo Espinoza (@kcrespoe); Ariel Omar Castro Bajaña (@arielca868); Erick Jahir Quintero Gende (@equinteroj),01_ERS/ERS_SRS_2B_v2.0.tex; 02_Evidencias/Entrevistas/ENTR-0X/ACTA-0X_enmascarada.pdf; 03_Modelado/Diagramas_UML/Diagramas_Actividad/002-003_Activity_Diagram_CU-XX.png; 03_Modelado/Diagramas_UML/Diagramas_Contexto/Context_Diagram.png; 03_Modelado/Diagramas_UML/Diagramas_Clases/Class-Diagram.png; 04_Trazabilidad/Matriz_Trazabilidad.csv; 05_MVP/instrucciones/README.md; 05_MVP/diseno/figma/*.fig; 06_Experimento/scripts/detector_ambiguedad.py; 06_Experimento/scripts/run_all.py; 06_Experimento/scripts/05_generar_figuras.py; 06_Experimento/figures/.gitkeep; 07_Datos/zenodo_registro.json; 07_Datos/README_datos.md; 07_Datos/diccionario_datos.csv; 07_Datos/exif_inventario.csv; 08_Etica/README_Etica.md; 08_Etica/etiquetas_expertos.csv; 08_Etica/fair_assessment.tex; 08_Etica/fair_assessment.pdf; 08_Etica/osf_registration.tex; 08_Etica/osf_registration.pdf; 08_Etica/osf_deviations.pdf; 08_Etica/dataset_zenodo/ANONYMIZATION.md; 08_Etica/dataset_zenodo/ETHICS.md; 08_Etica/declaracion_uso_ia.md; 09_Defensa/presentacion/*.pdf; 09_Defensa/guion/guion_defensa.md; 10_Autoria/notas_campo/ENTR-0X/*.pdf; 10_Autoria/correspondencia/*.pdf; 10_Autoria/fichas_tecnicas.csv; 10_Autoria/CHANGELOG.md; 10_Autoria/aporte_individual.md; 10_Autoria/bitacora_sesiones.csv; 10_Autoria/declaracion_uso_ia.md; 10_Autoria/informe_analisis_revistas.md; 10_Autoria/encuesta_uso_ia.json; checksums.sha256; LICENSE,"Adición de las notas de campo de las entrevistas ENTR-01 a ENTR-16 en 10_Autoria/notas_campo; Adición de las ACTAS enmascaradas de las entrevistas ENTR-04, ENTR-05 y ENTR-06; Adición del archivo fuente editable y exportado de 01_Sequence_Diagram, 02_Sequence_Diagram, 04_Sequence_Diagram, 05_Sequence_Diagram y 06_Sequence_Diagram; Adición del archivo fuente y exportado del diagrama de actividad 01_Activity_Diagram (CU-01); Adición del archivo fuente y exportado del diagrama de clases Class-Diagram; Adición de los archivos de figuras 002 y 003 de los diagramas de actividad CU-02 y CU-03; Adición de la fuente y exportado del diagrama de contexto Context_Diagram; Recompilación de fair_assessment.pdf desde fair_assessment.tex (v2); Corrección de fair_assessment.tex: aritmética y verificación de indicadores; Corrección de fichas_tecnicas.csv: tipo por pieza y hash/tamaño de los archivos; Adición del PDF de osf_registration con la versión final del preregistro; Recompilación de osf_registration.pdf desde osf_registration.tex; Actualización del README_Etica.md y del archivo de anonimización en Zenodo; Adición de correspondencia institucional en 10_Autoria/correspondencia (solicitud sesión verificación, correo con propietaria); Adición de las notas de campo de ENTR-02, ENTR-03 y ENTR-04 en 02_Evidencias/Entrevistas; Adición de evidencia de trabajo (fotos y videos) en 02_Evidencias/Entrevistas; Adición del PDF de solicitud de sesión con propietaria para member checking; Adición del PDF de correo con propietaria solicitando documentos de la empresa; Adición de evidencia de Member Checking (ficha técnica, hash y tamaño); Fusión final a main (merge) con la versión consolidada del repositorio; Cierre del bitácora_sesiones.csv y de la documentación FAIR para la entrega 2B","40c3c15, b839744, f3afdfa, a6c5f51, 37a4cdf, b2b7fca, 5b49372, 15a2aaa, a53181e, 406ee28, 354033f, e367d4c, 8206181, 3aa3f44, f9b724f, 32a7c7a, 503d72f, 1da0110, 396441e, 365bffc, 6204977, 3b9a75f, d502767, 097b548, 543f6f1, f6cecae, 7f8b786, fd92008, 011becc, 02f266b, a5ce852, 436d600, eba7f90, 5b5fcdb, 111be27, 468116f, 9ad2346, a89dc1a, 6b613ab, 233bdd7, 9274840, ce7dbcf, fb2ce64, 3a44a53, a3bba1e, 4d3cdc0, 9350194, d69ff3c, c7e4633, cf0294c, 682579c, cc24c9b, d54da63, a07045d, ee125fa, 5824c0a, 50f30a2, 94bd8fc, 11347db, 285b3ef, 771a920, 981bd6c",62
